stage,reason,node_id,browse_name,category,lines,source_node_id,source_browse_name,source_category
1,primary,i=1,Boolean,Base Info Base Types,9,,,
1,primary,i=10,Float,Base Info Base Types,9,,,
1,primary,i=100,EnumDefinition,Address Space DataTypeDefinition Attribute,12,,,
1,primary,i=101,StructureField,Address Space DataTypeDefinition Attribute,18,,,
1,primary,i=102,EnumField,Address Space DataTypeDefinition Attribute,12,,,
1,primary,i=11,Double,Base Info Base Types,9,,,
1,primary,i=11187,AggregateConfigurationType,Aggregate Master Configuration,13,,,
1,composible,i=11188,TreatUncertainAsBad,,9,i=11187,AggregateConfigurationType,Aggregate Master Configuration
1,composible,i=11189,PercentDataBad,,9,i=11187,AggregateConfigurationType,Aggregate Master Configuration
1,composible,i=11190,PercentDataGood,,9,i=11187,AggregateConfigurationType,Aggregate Master Configuration
1,composible,i=11191,UseSlopedExtrapolation,,9,i=11187,AggregateConfigurationType,Aggregate Master Configuration
1,primary,i=11238,MultiStateValueDiscreteType,Data Access MultiStateValueDiscrete,11,,,
1,composible,i=11241,EnumValues,,9,i=11238,MultiStateValueDiscreteType,Data Access MultiStateValueDiscrete
1,composible,i=11456,EffectiveTransitionTime,,9,i=2762,TransitionVariableType,Base Info State Machine Instance
1,composible,i=11461,ValueAsText,,9,i=11238,MultiStateValueDiscreteType,Data Access MultiStateValueDiscrete
1,primary,i=11487,OptionSetType,Base Info OptionSet,11,,,
1,composible,i=11488,OptionSetValues,,9,i=11487,OptionSetType,Base Info OptionSet
1,primary,i=11508,OptionalPlaceholder,Base Info Base Types,9,,,
1,primary,i=11510,MandatoryPlaceholder,Base Info Base Types,9,,,
1,primary,i=11575,FileType,Base Info FileType Base,22,,,
1,composible,i=11576,Size,,9,i=11575,FileType,Base Info FileType Base
1,composible,i=11579,OpenCount,,9,i=11575,FileType,Base Info FileType Base
1,composible,i=11580,Open,Base Info FileType Base,12,i=11575,FileType,Base Info FileType Base
1,composible,i=11581,InputArguments,,28,i=11580,Open,Base Info FileType Base
1,composible,i=11582,OutputArguments,,28,i=11580,Open,Base Info FileType Base
1,composible,i=11583,Close,Base Info FileType Base,11,i=11575,FileType,Base Info FileType Base
1,composible,i=11584,InputArguments,,28,i=11583,Close,Base Info FileType Base
1,composible,i=11585,Read,Base Info FileType Base,12,i=11575,FileType,Base Info FileType Base
1,composible,i=11586,InputArguments,,43,i=11585,Read,Base Info FileType Base
1,composible,i=11587,OutputArguments,,28,i=11585,Read,Base Info FileType Base
1,composible,i=11588,Write,Base Info FileType Base,11,i=11575,FileType,Base Info FileType Base
1,composible,i=11589,InputArguments,,43,i=11588,Write,Base Info FileType Base
1,composible,i=11590,GetPosition,Base Info FileType Base,12,i=11575,FileType,Base Info FileType Base
1,composible,i=11591,InputArguments,,28,i=11590,GetPosition,Base Info FileType Base
1,composible,i=11592,OutputArguments,,28,i=11590,GetPosition,Base Info FileType Base
1,composible,i=11593,SetPosition,Base Info FileType Base,11,i=11575,FileType,Base Info FileType Base
1,composible,i=11594,InputArguments,,43,i=11593,SetPosition,Base Info FileType Base
1,primary,i=117,HasSubStateMachine,Base Info Finite State Machine Instance,10,,,
1,composible,i=11701,BitMask,,9,i=11487,OptionSetType,Base Info OptionSet
1,primary,i=11737,BitFieldMaskDataType,Base Info BitFieldMaskDataType,9,,,
1,composible,i=11878,EnumValues,,156,i=257,NodeClass,Base Info Base Types
1,primary,i=12,String,Base Info Base Types,9,,,
1,primary,i=12021,ArrayItemType,Data Access ArrayItem2Type,14,,,
1,composible,i=12024,InstrumentRange,,9,i=12021,ArrayItemType,Data Access ArrayItem2Type
1,composible,i=12025,EURange,,9,i=12021,ArrayItemType,Data Access ArrayItem2Type
1,composible,i=12026,EngineeringUnits,,9,i=12021,ArrayItemType,Data Access ArrayItem2Type
1,composible,i=12027,Title,,9,i=12021,ArrayItemType,Data Access ArrayItem2Type
1,composible,i=12028,AxisScaleType,,9,i=12021,ArrayItemType,Data Access ArrayItem2Type
1,primary,i=12029,YArrayItemType,Data Access YArrayItemType,10,,,
1,composible,i=12037,XAxisDefinition,,9,i=12029,YArrayItemType,Data Access YArrayItemType
1,primary,i=12038,XYArrayItemType,Data Access XYArrayItemType,10,,,
1,composible,i=12046,XAxisDefinition,,9,i=12038,XYArrayItemType,Data Access XYArrayItemType
1,primary,i=12047,ImageItemType,Data Access ImageItemType,11,,,
1,composible,i=12055,XAxisDefinition,,9,i=12047,ImageItemType,Data Access ImageItemType
1,composible,i=12056,YAxisDefinition,,9,i=12047,ImageItemType,Data Access ImageItemType
1,primary,i=12057,CubeItemType,Data Access CubeItemType,12,,,
1,composible,i=12065,XAxisDefinition,,9,i=12057,CubeItemType,Data Access CubeItemType
1,composible,i=12066,YAxisDefinition,,9,i=12057,CubeItemType,Data Access CubeItemType
1,composible,i=12067,ZAxisDefinition,,9,i=12057,CubeItemType,Data Access CubeItemType
1,primary,i=12068,NDimensionArrayItemType,Data Access NDimensionArrayItemType,10,,,
1,composible,i=12076,AxisDefinition,,9,i=12068,NDimensionArrayItemType,Data Access NDimensionArrayItemType
1,primary,i=12077,AxisScaleEnumeration,Data Access ArrayItem2Type,15,,,
1,composible,i=12078,EnumStrings,,21,i=12077,AxisScaleEnumeration,Data Access ArrayItem2Type
1,primary,i=12079,AxisInformation,Data Access AxisInformationType,16,,,
1,primary,i=12080,XVType,Data Access XYArrayItemType,13,,,
1,primary,i=12171,ComplexNumberType,Data Access Complex Number,13,,,
1,primary,i=12172,DoubleComplexNumberType,Data Access DoubleComplex Number,13,,,
1,composible,i=12686,Writable,,9,i=11575,FileType,Base Info FileType Base
1,composible,i=12687,UserWritable,,9,i=11575,FileType,Base Info FileType Base
1,primary,i=12755,OptionSet,Base Info OptionSet DataType,13,,,
1,primary,i=12756,Union,Base Info OptionSet DataType,10,,,
1,primary,i=12877,NormalizedString,Base Info NormalizedString DataType,9,,,
1,primary,i=12878,DecimalString,Base Info DecimalString DataType,9,,,
