node_id,browse_name,category,member_lines,reference_lines
i=18810,3DCartesianCoordinates,Base Info Spatial Data,0,0
i=18774,3DCartesianCoordinatesType,Base Info Spatial Data,27,27
i=18814,3DFrame,Base Info Spatial Data,0,0
i=18791,3DFrameType,Base Info Spatial Data,78,51
i=18812,3DOrientation,Base Info Spatial Data,0,0
i=18781,3DOrientationType,Base Info Spatial Data,27,27
i=18808,3DVector,Base Info Spatial Data,0,0
i=17716,3DVectorType,Base Info Spatial Data,27,27
i=11187,AggregateConfigurationType,Aggregate Master Configuration,36,27
i=44,Aggregates,Base Info Base Types,0,0
i=19819,AllowedSubtype,Base Info SubtypeRestriction,0,0
i=32467,AlternativeUnitType,Data Access Alternative Units,27,27
i=3065,AlwaysGeneratesEvent,Address Space Events 2,0,0
i=2368,AnalogItemType,Data Access AnalogItemType,9,27
i=23906,AnalogNumberItemType,Data Access AnalogNumberItemType,9,27
i=23918,AnalogNumberUnitRangeType,Data Access AnalogNumberUnitRangeType,9,27
i=17570,AnalogUnitRangeType,Data Access AnalogUnitRangeType,9,27
i=17497,AnalogUnitType,Data Access AnalogUnitType,9,27
i=32434,AnnotationDataType,Data Access Quantities Base,0,0
i=296,Argument,Base Info Method Argument DataType,0,0
i=12021,ArrayItemType,Data Access ArrayItem2Type,45,36
i=24137,AssociatedWith,Base Info AssociatedWith,0,0
i=16307,AudioDataType,Base Info Audio Type,0,0
i=17986,AudioVariableType,Base Info Audio Type,27,27
i=12079,AxisInformation,Data Access AxisInformationType,0,0
i=12077,AxisScaleEnumeration,Data Access ArrayItem2Type,21,9
i=15318,BaseAnalogType,Data Access BaseAnalogType,45,27
i=24,BaseDataType,Base Info Base Types,0,0
i=63,BaseDataVariableType,Base Info Base Types,0,0
i=2041,BaseEventType,Address Space Events,117,36
i=17602,BaseInterfaceType,Address Space Interfaces,0,0
i=19362,BaseLogEventType,LogObject BaseEvent,45,36
i=58,BaseObjectType,Base Info Base Types,0,0
i=62,BaseVariableType,Base Info Base Types,0,0
i=11737,BitFieldMaskDataType,Base Info BitFieldMaskDataType,0,0
i=1,Boolean,Base Info Base Types,0,0
i=3,Byte,Base Info Base Types,0,0
i=15,ByteString,Base Info Base Types,0,0
i=18809,CartesianCoordinates,Base Info Spatial Data,0,0
i=18772,CartesianCoordinatesType,Base Info Spatial Data,9,27
i=15109,ChoiceStateType,Base Info Choice States,0,0
i=12171,ComplexNumberType,Data Access Complex Number,0,0
i=25254,Controls,Base Info Controls,0,0
i=32436,ConversionLimitEnum,Data Access Alternative Units,21,9
i=12057,CubeItemType,Data Access CubeItemType,27,27
i=23498,CurrencyUnitType,Base Info Currency,0,0
i=2365,DataItemType,Data Access DataItems,18,27
i=97,DataTypeDefinition,Address Space DataTypeDefinition Attribute,0,0
i=76,DataTypeEncodingType,Base Info Base Types,0,0
i=19820,DataTypeRefinementType,Base Info DataTypeRefinement,0,36
i=23,DataValue,Base Info Base Types,0,0
i=12881,DateString,Base Info Date DataTypes,0,0
i=13,DateTime,Base Info Base Types,0,0
i=50,Decimal,Base Info Decimal DataType,0,0
i=12878,DecimalString,Base Info DecimalString DataType,0,0
i=25,DiagnosticInfo,Base Info Base Types,0,0
i=17589,DictionaryEntryType,Address Space Dictionary Entries,9,18
i=17591,DictionaryFolderType,Address Space Dictionary Entries,18,28
i=2372,DiscreteItemType,Data Access DiscreteItemType,0,0
i=11,Double,Base Info Base Types,0,0
i=12172,DoubleComplexNumberType,Data Access DoubleComplex Number,0,0
i=290,Duration,Base Info Base Types,0,0
i=12879,DurationString,Base Info Date DataTypes,0,0
i=887,EUInformation,Base Info EUInformation,0,0
i=15317,ElseGuardVariableType,Base Info Choice States,0,0
i=100,EnumDefinition,Address Space DataTypeDefinition Attribute,0,0
i=102,EnumField,Address Space DataTypeDefinition Attribute,0,0
i=7594,EnumValueType,Base Info Base Types,0,0
i=29,Enumeration,Base Info Base Types,0,0
i=18,ExpandedNodeId,Base Info Base Types,0,0
i=15128,ExpressionGuardVariableType,Base Info Choice States,9,27
i=13353,FileDirectoryType,Base Info FileDirectoryType Base,318,90
i=15803,FileTransferStateMachineType,Base Info TemporaryFileTransferType Base,349,68
i=11575,FileType,Base Info FileType Base,429,36
i=2771,FiniteStateMachineType,Base Info Finite State Machine Instance | Base Info Available States and Transitions,56,65
i=2760,FiniteStateVariableType,Base Info Finite State Machine Instance,9,27
i=2767,FiniteTransitionVariableType,Base Info Finite State Machine Instance,9,27
i=10,Float,Base Info Base Types,0,0
i=61,FolderType,Base Info Base Types,0,0
i=18813,Frame,Base Info Spatial Data,0,0
i=18786,FrameType,Base Info Spatial Data,45,65
i=51,FromState,Base Info Finite State Machine Instance,0,0
i=41,GeneratesEvent,Address Space Events 2,0,0
i=15113,GuardVariableType,Base Info Choice States,0,0
i=14,Guid,Base Info Base Types,0,0
i=31917,Handle,Base Info Handle DataType,0,0
i=17604,HasAddIn,Address Space AddIn Reference,0,0
i=129,HasArgumentDescription,Address Space Method Meta Data,0,0
i=25264,HasAttachedComponent,Base Info HasAttachedComponent,0,0
i=53,HasCause,Base Info Finite State Machine Instance,0,0
i=34,HasChild,Base Info Base Types,0,0
i=47,HasComponent,Base Info Base Types,0,0
i=25263,HasContainedComponent,Base Info HasContainedComponent,0,0
i=19846,HasDataTypeRefinement,Base Info SubtypeRestriction,0,0
i=17597,HasDictionaryEntry,Address Space Dictionary Entries,0,0
i=54,HasEffect,Base Info Finite State Machine Instance,0,0
i=38,HasEncoding,Base Info Base Types,0,0
i=32558,HasEngineeringUnitDetails,Data Access Quantities Base,0,0
i=36,HasEventSource,Address Space Source Hierarchy,0,0
i=19815,HasFieldDescription,Base Info DataTypeRefinement,0,0
i=19816,HasFieldDescriptionSetMandatory,Base Info DataTypeRefinement,0,0
i=15112,HasGuard,Base Info Choice States,0,0
i=17603,HasInterface,Address Space Interfaces,0,0
i=32407,HasKeyValueDescription,Base Info HasKeyValueDescription,0,0
i=37,HasModellingRule,Base Info Base Types,0,0
i=48,HasNotifier,Address Space Notifier Hierarchy,0,0
i=131,HasOptionalInputArgumentDescription,Address Space Method Meta Data,0,0
i=49,HasOrderedComponent,Base Info HasOrderedComponent,0,0
i=25262,HasPhysicalComponent,Base Info HasPhysicalComponent,0,0
i=46,HasProperty,Base Info Base Types,0,0
i=32559,HasQuantity,Data Access Quantities Base,0,0
i=24136,HasStructuredComponent,Base Info Subvariables of Structures,0,0
i=117,HasSubStateMachine,Base Info Finite State Machine Instance,0,0
i=45,HasSubtype,Base Info Base Types,0,0
i=40,HasTypeDefinition,Base Info Base Types,0,0
i=33,HierarchicalReferences,Base Info Base Types,0,0
i=23513,IOrderedObjectType,Base Info OrderedList,9,27
i=256,IdType,Base Info Base Types,24,9
i=30,Image,Base Info Image DataTypes,0,0
i=2000,ImageBMP,Base Info Image DataTypes,0,0
i=2001,ImageGIF,Base Info Image DataTypes,0,0
i=12047,ImageItemType,Data Access ImageItemType,18,27
i=2002,ImageJPG,Base Info Image DataTypes,0,0
i=2003,ImagePNG,Base Info Image DataTypes,0,0
i=2309,InitialStateType,Base Info Finite State Machine Instance,0,0
i=4,Int16,Base Info Base Types,0,0
i=6,Int32,Base Info Base Types,0,0
i=8,Int64,Base Info Base Types,0,0
i=27,Integer,Base Info Base Types,0,0
i=17598,IrdiDictionaryEntryType,Address Space Dictionary IRDI,0,0
i=19817,IsDisabledOptionalField,Base Info DataTypeRefinement,0,0
i=25253,IsExecutableOn,Base Info IsExecutableOn,0,0
i=25265,IsExecutingOn,Base Info IsExecutingOn,0,0
i=25261,IsHostedBy,Base Info IsHostedBy,0,0
i=25257,IsPhysicallyConnectedTo,Base Info IsPhysicallyConnectedTo,0,0
